name,industry,sector,website
Caesars Entertainment,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure",http://www.caesars.com
Targa Resources,Pipelines,Energy,http://www.targaresources.com
Dollar Tree,Specialty Retailers: Other,Retailing,http://www.dollartree.com
News Corp.,"Publishing, Printing",Media,http://www.newscorp.com
Ball,"Packaging, Containers",Materials,http://www.ball.com
Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",Financials,http://www.thrivent.com
Masco,"Home Equipment, Furnishings",Household Products,http://www.masco.com
Franklin Resources,Securities,Financials,http://www.franklinresources.com
Avis Budget Group,"Automotive Retailing, Services",Retailing,http://www.avisbudgetgroup.com
Reynolds American,Tobacco,"Food, Beverages & Tobacco",http://www.reynoldsamerican.com
Becton Dickinson,Medical Products and Equipment,Health Care,http://www.bd.com
Priceline Group,Internet Services and Retailing,Technology,http://www.pricelinegroup.com
Broadcom,Semiconductors and Other Electronic Components,Technology,http://www.broadcom.com
Tenneco,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.tenneco.com
Campbell Soup,Food Consumer Products,"Food, Beverages & Tobacco",http://www.campbellsoupcompany.com
AECOM,"Engineering, Construction",Engineering & Construction,http://www.aecom.com
Visteon,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.visteon.com
Delek US Holdings,Petroleum Refining,Energy,http://www.delekus.com
Dover,Industrial Machinery,Industrials,http://www.dovercorporation.com
BorgWarner,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.borgwarner.com
Jarden,"Home Equipment, Furnishings",Household Products,http://www.jarden.com
UGI,Energy,Energy,http://www.ugicorp.com
Murphy Oil,"Mining, Crude-Oil Production",Energy,http://www.murphyoilcorp.com
PVH,Apparel,Apparel,http://www.pvh.com
Core-Mark Holding,Wholesalers: Food and Grocery,Wholesalers,http://www.core-mark.com
Calpine,Energy,Energy,http://www.calpine.com
D.R. Horton,Homebuilders,Engineering & Construction,http://www.drhorton.com
Weyerhaeuser,Forest and Paper Products,Materials,http://www.weyerhaeuser.com
KKR,Securities,Financials,http://www.kkr.com
FMC Technologies,"Oil and Gas Equipment, Services",Energy,http://www.fmctechnologies.com
American Family Insurance Group,Insurance: Property and Casualty (Stock),Financials,http://www.amfam.com
SpartanNash,Wholesalers: Food and Grocery,Wholesalers,http://www.spartannash.com
WESCO International,Wholesalers: Diversified,Wholesalers,http://www.wesco.com
Quanta Services,"Engineering, Construction",Engineering & Construction,http://www.quantaservices.com
Mohawk Industries,zMiscellaneous,Household Products,http://www.mohawkind.com
Motorola Solutions,Network and Other Communications Equipment,Technology,http://www.motorolasolutions.com
Lennar,Homebuilders,Engineering & Construction,http://www.lennar.com
TravelCenters of America,Specialty Retailers: Other,Retailing,http://www.ta-petrol.com
Sealed Air,"Packaging, Containers",Materials,http://www.sealedair.com
Eversource Energy,Utilities: Gas and Electric,Energy,http://www.eversource.com
Coca-Cola Enterprises,Beverages,"Food, Beverages & Tobacco",http://www.cokecce.com
Celgene,Pharmaceuticals,Health Care,http://www.celgene.com
Williams,Energy,Energy,http://www.williams.com
Ashland,Chemicals,Chemicals,http://www.ashland.com
Interpublic Group,"Advertising, marketing",Business Services,http://www.interpublic.com
Blackstone Group,Diversified Financials,Financials,http://www.blackstone.com
Ralph Lauren,Apparel,Apparel,http://www.ralphlauren.com
Quest Diagnostics,Health Care: Pharmacy and Other Services,Health Care,http://www.questdiagnostics.com
Hershey,Food Consumer Products,"Food, Beverages & Tobacco",http://www.thehersheycompany.com
Terex,Construction and Farm Machinery,Industrials,http://www.terex.com
Boston Scientific,Medical Products and Equipment,Health Care,http://www.bostonscientific.com
Newmont Mining,"Mining, Crude-Oil Production",Energy,http://www.newmont.com
Allergan,Pharmaceuticals,Health Care,http://www.allergan.com
O'Reilly Automotive,Specialty Retailers: Other,Retailing,http://www.oreillyauto.com
Casey's General Stores,Specialty Retailers: Other,Retailing,http://www.caseys.com
CMS Energy,Utilities: Gas and Electric,Energy,http://www.cmsenergy.com
Foot Locker,Specialty Retailers: Apparel,Retailing,http://www.footlocker-inc.com
W.R. Berkley,Insurance: Property and Casualty (Stock),Financials,http://www.wrberkley.com
PetSmart,Specialty Retailers: Other,Retailing,http://www.petsmart.com
Pacific Life,"Insurance: Life, Health (stock)",Financials,http://www.pacificlife.com
Commercial Metals,Metals,Materials,http://www.cmc.com
Agilent Technologies,"Scientific,Photographic and Control Equipment",Technology,http://www.agilent.com
Huntington Ingalls Industries,Aerospace and Defense,Aerospace & Defense,http://www.huntingtoningalls.com
Mutual of Omaha Insurance,"Insurance: Life, Health (stock)",Financials,http://www.mutualofomaha.com
Live Nation Entertainment,Entertainment,Media,http://www.livenation.com
Dick's Sporting Goods,Specialty Retailers: Other,Retailing,http://www.dickssportinggoods.com
Oshkosh,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.oshkoshcorporation.com
Celanese,Chemicals,Chemicals,http://www.celanese.com
Spirit AeroSystems Holdings,Aerospace and Defense,Aerospace & Defense,http://www.spiritaero.com
United Natural Foods,Wholesalers: Food and Grocery,Wholesalers,http://www.unfi.com
Peabody Energy,"Mining, Crude-Oil Production",Energy,http://www.peabodyenergy.com
Owens-Illinois,"Packaging, Containers",Materials,http://www.o-i.com
Dillard's,General Merchandisers,Retailing,http://www.dillards.com
Level 3 Communications,Telecommunications,Telecommunications,http://www.level3.com
Pantry,Specialty Retailers: Other,Retailing,http://www.couche-tard.com
LKQ,Wholesalers: Diversified,Wholesalers,http://www.lkqcorp.com
Integrys Energy Group,Utilities: Gas and Electric,Energy,www.wecenergygroup.com
Symantec,Computer Software,Technology,http://www.symantec.com
Buckeye Partners,Pipelines,Energy,http://www.buckeye.com
Ryder System,"Trucking, Truck Leasing",Transportation,http://www.ryder.com
SanDisk,Semiconductors and Other Electronic Components,Technology,http://www.sandisk.com
Rockwell Automation,"Electronics, Electrical Equip.",Industrials,http://www.rockwellautomation.com
Dana Holding,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.dana.com
Lansing Trade Group,Wholesalers: Diversified,Wholesalers,http://www.lansingtradegroup.com
NCR,"Computers, Office Equipment",Technology,http://www.ncr.com
Expeditors International of Washington,Transportation and Logistics,Transportation,http://www.expeditors.com
